문서ID,도메인,제목,제안등급(목표),룰,LLM,S,V,M,곱,근거요약,검수자_확정등급,검수자_사유,검수자명
G500-TS-068,ma,비공개 합병 의향서 (가상기업A-가상기업B),TS(특급기밀),S1,S1,2,2,1,4,"비공식 협상 내용과 거래 규모, 보안 취약점 등 경제적 가치가 높고, 합병 관련 전략적 정보로 비공개 상태이지만, 협상 당사자 간 공유로 비밀관리성은 중간 수준",,,
G500-TS-070,ai,AI 핵심 기술 개발을 위한 사전학습 데이터셋 구축 및 관리 지침,TS(특급기밀),S3,TS,2,2,2,8,"차세대 AI 모델 개발에 직접 활용되는 대규모 비공개 데이터셋으로, 고도화된 보안 관리와 경제적 가치가 높아 TS 등급에 해당",,,
G500-TS-071,bio,신약 후보물질 XYZ-2024-001의 합성 경로 및 임상 시험 계획,TS(특급기밀),S3,TS,2,2,2,8,"문서는 특허 출원 번호와 구체적인 합성 조건, 임상 시험 계획 등 외부 공개 시 경쟁력 상실 및 사업적 손실이 예상되는 고유 정보를 포함하며, AES-256 암호",,,
G500-TS-073,defense,국가핵심기술 보호 계획 및 무기체계 설계 검토 보고서,TS(특급기밀),S1,TS,2,2,2,8,"국방용 고기밀 기술과 엄격한 보안 관리 체계, 높은 경제적 가치를 기반으로 특급기밀로 분류",,,
G500-TS-074,ma,인수합병 대상 기업 [가상기업A] 실사 보고서 (2023년 11월 15일 기준),TS(특급기밀),S3,TS,2,2,2,8,"문서는 특정 기업 인수와 관련된 비공개 재무·법적 정보 및 기술 자산을 포함하며, 외부 접근이 제한되어 있어 비공지성(S=2), 경제적 가치(V=2), 비밀관리성",,,
G500-TS-075,security,암호 키 관리 보고서 (2023년 4분기),TS(특급기밀),TS,S1,1,2,2,4,"암호 키 관리 현황은 보안 인프라와 국가 방산 기밀 프로젝트에 직접적인 영향을 미치는 고도로 기밀성이 요구되는 정보로, 경제적 가치가 높고 엄격한 접근 제어 및 ",,,
G500-TS-077,bio,신약 후보물질 [X-227] 임상 3상 연구노트,TS(특급기밀),S3,S1,1,2,2,4,"임상 3상 연구 계획서는 경제적 가치가 높고 엄격한 보안 관리가 적용되었으나, 특정 정보는 통상적 방법으로 입수 가능해 비공지성은 중간 수준이다.",,,
G500-TS-079,defense,Project Horizon: Next-Generation Stealth Drone Dev,TS(특급기밀),S3,TS,2,2,2,8,"문서는 국방부와의 공동 연구 계약에 따른 차세대 무기체계 개발 기술을 담고 있으며, 외부 공유가 엄격히 금지되고 접근 권한이 최소한의 범위에 한정되어 있어 비공지",,,
G500-TS-083,bio,신약 후보물질 X-2023A 합성 경로 및 임상 1상 시험 전략,TS(특급기밀),S1,TS,2,2,2,8,"문서는 신규 항암제 후보물질의 합성 경로 및 임상 전략 등 고유한 기술 정보를 포함하며, 암호화 저장과 엄격한 접근 제어를 통해 비밀관리가 철저히 이루어져 있어 ",,,
G500-TS-086,ma,2024년 상반기 [가상기업A] 인수합병 실사 보고서 (프로젝트 코드: MA-2024-00,TS(특급기밀),TS,S1,2,2,1,4,"M&A 실사 정보는 외부 유출 시 협상 무력화 위험으로 비공지성(S=2), 고액 계약 금액과 기술 자산 등 경제적 가치(V=2), 법무팀 등 일부 임직원에 한해 ",,,
G500-TS-088,ai,심층학습 모델 사전학습 데이터셋 구성 및 보안 관리 지침,TS(특급기밀),S1,TS,2,2,2,8,"비공개 유지, 고비용·고노력 투입, 엄격한 보안 관리로 TS 등급",,,
G500-TS-089,bio,신약 후보물질 XYZ-2101 합성 및 임상시험 연구노트,TS(특급기밀),S2,TS,2,2,2,8,"문서는 외부 접근을 엄격히 제한하고, 고급 보안 시스템과 암호화를 통해 관리되며, 신규 의약품 후보물질의 합성 경로 및 임상시험 설계 등 고비용·고노력 투입 정보",,,
G500-TS-091,defense,국방용 고성능 드론 시스템 설계 검토 보고서,TS(특급기밀),S2,TS,2,2,2,8,"국방 관련 고성능 드론 시스템의 핵심 기술 사양과 예산 집행 내역이 포함되어 있으며, 외부 유출 시 국가 방위력 약화 위험이 있어 비공지성과 비밀관리성이 높고, ",,,
G500-TS-094,ai,AI 핵심 모델 가중치 관리 및 보안 운영 프로토콜 (내부 사용 제한),TS(특급기밀),S2,TS,2,2,2,8,"AI 핵심 모델 가중치에 대한 엄격한 보안 절차와 접근 제한, 고도의 암호화 기술 적용으로 비공지성과 경제적 가치가 매우 높고, 체계적인 비밀관리가 이루어져 TS",,,
G500-TS-098,ma,비공개 합병 실사 보고서 (2023년 10월),TS(특급기밀),S3,TS,2,2,2,8,"문서는 합병 협상의 핵심 보안 취약점, 재무 조정, 대규모 투자 계획 등 경제적 가치가 높고 외부 공개가 엄격히 금지된 정보를 담고 있어 TS 등급에 해당함.",,,
G500-TS-100,ai,AI 핵심 알고리즘 특허 전략 및 보안 운영 가이드라인 (2023~2025),TS(특급기밀),S1,TS,2,2,2,8,"문서는 고유한 AI 알고리즘 특허 전략과 엄격한 보안 절차를 포함하며, 외부 공유가 금지되고 특정 인원만 접근 가능해 비공지성과 비밀관리성이 높고, 대규모 예산 ",,,
G500-TS-107,bio,Project Alpha: Next-Generation CAR-T Cell Therapy ,TS(특급기밀),S1,TS,2,2,2,8,"문서는 차세대 CAR-T 치료제의 기술 노하우, 임상전략, 파트너십 조건 등 고유한 경제적 가치와 강력한 비밀관리를 통해 비공개 상태를 유지하고 있음.",,,
G500-TS-110,ma,비공개 합병 의향서 (가상기업A),TS(특급기밀),S2,S1,1,2,2,4,"문서는 합병 관련 보안 검증, 특허 기술, 공동 개발 계약 등 고유한 정보를 포함하며, 외부 노출이 제한되어 있고 경제적 가치가 높아 S1에 해당",,,
G500-TS-111,security,핵심 보안 취약점 분석 및 대응 전략 보고서,TS(특급기밀),TS,S1,1,2,2,4,"문서는 외부 공유가 금지된 내부 보안 취약점 보고서로, 경제적 가치가 높고 엄격한 비밀관리가 적용되어 S1 등급에 해당함.",,,
G500-TS-116,ma,비공개 인수합병 실사 보고서 (2023-04-01 기준),TS(특급기밀),S3,TS,2,2,2,8,"문서는 인수 실사 결과로 재무·법적·보안 리스크 등 고액 인수와 관련된 핵심 정보를 담고 있으며, 외부 공유가 엄격히 금지되어 비공지성(S=2), 경제적 유용성(",,,
G500-TS-119,bio,신약 후보물질 [X-227] 임상 3상 연구노트 (비공개),TS(특급기밀),S2,TS,2,2,2,8,"임상 3상 데이터, 독자적 리포좀 기술, 생산비용 등 고가치 정보를 최고 경영진 및 3명 연구원만 접근 가능한 암호화 저장소에 엄격히 관리하고 있어 TS 등급",,,
G500-TS-122,ma,비공개 합병 의향서 (가상기업A-2023M&A-007),TS(특급기밀),S3,TS,2,2,2,8,"문서는 비공개 협의 중인 인수 계약 및 고유 기술 정보를 포함하며, 엄격한 보안 절차와 암호화 저장, 실시간 모니터링이 적용되어 비공지성(S=2), 경제적 가치(",,,
G500-TS-123,security,암호 키 관리 및 보안 운영 점검 보고서,TS(특급기밀),TS,S1,2,2,1,4,"문서는 내부 보안 취약점 및 관리 문제를 다루며, 외부 공개 시 경제적 피해가 클 수 있으나, 현재 내부 관리 시스템이 불완전한 상태로 보여 비밀관리성은 중간 수",,,
G500-S1-000,finance,2024년 상반기 결산 초안 및 향후 자금 조달 전략,S1(1급비밀),S1,TS,2,2,2,8,"문서는 아직 공개되지 않은 재무 정보와 자금 조달 계획, 영업 전략을 포함하며, 내부 보안 절차를 준수해야 한다고 명시되어 비공지성(S=2)과 경제적 유용성(V=",,,
G500-S1-001,tech,Next-Gen Quantum Computing Module Design and Optim,S1(1급비밀),S3,TS,2,2,2,8,"문서는 차세대 양자 컴퓨팅 모듈의 핵심 알고리즘과 특허 출원 중인 제조 기술, 비공식 가격 전략 등 고유한 정보를 포함하며, 엄격한 접근 제한과 보안 관리가 적용",,,
G500-S1-002,ai,AI 핵심 알고리즘 특허 전략 수립 방안 (2024년 Q3 기준),S1(1급비밀),TS,S1,1,2,2,4,"문서는 경쟁사 대응 전략과 핵심 알고리즘 특허 전략을 포함하며, AES-256 암호화 및 NDA 계약 등 엄격한 보안 조치가 적용되었으나, 일부 기술(예: Dyn",,,
G500-S1-003,bio,신약 후보물질 'X-2023' 합성 경로 및 특성 분석 보고서,S1(1급비밀),TS,TS,2,2,2,8,"신약 후보물질의 합성 경로, 물성 분석, 경쟁사 대응 전략 등이 포함되어 비공개 정보로 입수 곤란하고, 높은 경제적 가치와 엄격한 비밀관리가 적용됨.",,,
G500-S1-004,hr,2024년도 임원 및 팀장급 인사 평가 및 보상 체계 운영 계획,S1(1급비밀),S1,TS,2,2,2,8,"문서는 외부 공유가 엄격히 금지되고, 경쟁사의 전략 분석에 유리할 수 있는 고액급여 및 평가 기준을 포함하며, 내부 보안 시스템과 암호화 조치로 엄격한 비밀관리가",,,
G500-S1-005,finance,2024년도 제3사 유동성 확보를 위한 자금 조달 계획,S1(1급비밀),S2,TS,2,2,2,8,"자금 조달 계획서는 외부 공개 금지이며, 경영진 및 팀장급 이상 임원만 접근 가능(비공지성 S=2). 1,200억 원 규모의 자금 조달과 해외 진출, R&D 투자",,,
G500-S1-006,tech,Q4 Next-Gen AI Chip Manufacturing Process Optimiza,S1(1급비밀),S1,TS,2,2,2,8,"문서는 내부 보안망을 통해 제한된 인원에게만 공유되며, 차세대 AI 칩 생산 공정 최적화 연구 결과와 주요 고객사 데이터 등 경제적 가치가 높고, 비밀관리가 철저",,,
G500-S1-007,ai,핵심 인공지능 모델 사전학습 데이터셋 명세서 (내부 문서),S1(1급비밀),S1,TS,2,2,2,8,"데이터셋의 고유성과 경제적 가치, 엄격한 비밀관리로 인해 TS 등급",,,
G500-S1-008,bio,신규 항암제 후보물질 X-103의 임상 1상 시험 전략 및 데이터 분석 보고서,S1(1급비밀),S3,TS,2,2,2,8,"신규 항암제 임상시험 설계 및 초기 데이터는 경제적 가치가 높고, 외부 공유 시 법적 조치가 예고되어 비공지성과 비밀관리성이 높아 TS 등급에 해당",,,
G500-S1-009,hr,2024년도 임원 및 팀장급 인력 전략 평가 및 보상 체계 개선안,S1(1급비밀),S3,TS,2,2,2,8,"문서는 암호화 저장 및 외부 공유 시 형사 처벌이 적용되는 등 엄격한 비밀 관리가 이루어졌으며, 임원 및 팀장급 인력의 전략 평가와 보상 체계에 대한 핵심 정보로",,,
G500-S1-011,tech,2024년 Q3 차세대 AI 인공지능 모델 핵심 알고리즘 설계 및 성능 최적화 기술 보고서,S1(1급비밀),TS,TS,2,2,2,8,"핵심 알고리즘 설계 원리 및 성능 최적화 기술이 경쟁사의 가격 역산 방지 목적의 강력한 보안 프로토콜로 보호되고, 상당한 경제적 가치와 비밀관리성을 갖는다.",,,
G500-S1-012,ai,AI 핵심 모델 가중치 관리 및 최적화 가이드라인 (내부 사용 제한),S1(1급비밀),S2,TS,2,2,2,8,"AI 핵심 모델의 기술적 구현 방식과 엄격한 보안 절차가 포함되어 있어 비공지성(S=2), 경제적 가치(V=2), 비밀관리성(M=2) 모두 최고 수준으로 평가됨",,,
G500-S1-013,bio,신약 후보물질 XY-702 합성 경로 및 생체 내 효능 평가 보고서,S1(1급비밀),S3,TS,2,2,2,8,"신규 항암 후보물질의 합성 공정 최적화 및 동물실험 결과는 외부 공유 금지 대상이며, 경제적 가치가 크고 엄격한 접근 제어가 적용되어 있어 TS 등급에 해당합니다",,,
G500-S1-014,hr,2024년도 임원급 보상 체계 및 성과 기준 안,S1(1급비밀),S3,TS,2,2,2,8,"임원급 보상 체계와 성과 평가 기준은 외부 공개 시 경쟁력 저하 및 법적 위험을 초래할 수 있어 비공지성(S=2), 경제적 가치(V=2), 엄격한 내부 관리(M=",,,
G500-S1-015,finance,2024년도 주식발행 및 자금조달 계획서,S1(1급비밀),S1,TS,2,2,2,8,"문서는 외부 접근 제한, 비공개 조항 추가, 전용 서버 저장 등 강력한 비밀관리를 수행하고 있으며, 자금 조달 계획과 R&D 투자 등 경제적 가치가 높은 정보를 ",,,
G500-S1-016,tech,AI 기반 신규 제품 개발 프로젝트 연구노트 (프로젝트명: 프로젝트 뉴라이트),S1(1급비밀),S3,S1,2,2,1,4,"문서는 차세대 AI 시스템 개발 계획, 경쟁사 대응 전략, 특화된 학습 데이터셋 등 고비용·고노력 투입 정보를 포함하며, 내부 관리가 이루어지고 있으나 외부 공개",,,
G500-S1-018,bio,신약 후보물질 'AX-742'의 기초 연구 및 임상 전략 개요,S1(1급비밀),S1,TS,2,2,2,8,"신약 후보물질의 임상 결과, 합성 효율성, 원가 구조, 마케팅 전략 등 고유한 경제적 가치와 비밀관리가 철저히 이루어져 비공지성과 경제적 유용성이 높아 TS 등급",,,
G500-S1-019,hr,2024년도 임원 보상 체계 및 인사 이동안,S1(1급비밀),S3,TS,2,2,2,8,"임원 보상 체계는 경쟁사 인력 유인 및 전략 무력화 위험으로 인해 엄격한 접근 제어가 필요하며, 고등급 비밀 정보로 분류됨.",,,
G500-S1-020,finance,2024년 제4분기 핵심 재무 전략 및 자금 조달 계획 초안,S1(1급비밀),S1,S2,1,2,1,2,"재무 전략, 비용 구조, 자금 조달 계획 등 경제적 가치가 높은 정보로, 통상적 방법으론 입수 곤란하지만 외부 공개 시 유출 위험을 경고하는 문장이 없어 비공지성",,,
G500-S1-022,ai,AI 모델 학습용 대규모 데이터셋 구성 및 관리 프로토콜,S1(1급비밀),TS,TS,2,2,2,8,"문서는 비공개 데이터셋의 구성, 관리 절차, 특허 전략 등 경제적 가치가 높고, 엄격한 암호화 및 접근 제어를 통해 비밀관리가 철저히 이루어진 정보로, 유출 시 ",,,
G500-S1-023,bio,신약 후보물질 [XYZ-2023-001] 연구노트,S1(1급비밀),S1,TS,2,2,2,8,"문서는 신약 후보물질의 핵심 기술, 원가 구조, 고객사 데이터 등 경쟁사가 알기 어려운 정보를 포함하며, 경제적 가치가 높고 비밀관리가 철저히 이루어져 있어 TS",,,
G500-S1-024,hr,2023년도 임원 및 팀장급 인사 이동안 및 보상 체계 안내,S1(1급비밀),S3,TS,2,2,2,8,"문서는 외부 공유 금지 및 경쟁사 전략 분석에 영향을 줄 수 있는 민감 정보로, 비공지성(S=2), 경제적 유용성(V=2), 비밀관리성(M=2)을 충족하여 TS(",,,
G500-S1-026,tech,AI 기반 고객 행동 예측 모델 v2.3 알고리즘 설명서,S1(1급비밀),S2,TS,2,2,2,8,"문서는 고유한 알고리즘 구조와 경쟁력 있는 예측 모델을 포함하며, 엄격한 보안 조치와 높은 경제적 가치를 기반으로 특급기밀로 분류됩니다.",,,
G500-S1-027,ai,RLHF 보상 설계서 V2.1,S1(1급비밀),S3,TS,2,2,2,8,"핵심 알고리즘과 보상 함수 설계, 고유한 데이터셋 구성을 포함하며, 외부 유출 시 경쟁력 저하 및 사업 기회 손실이 발생할 수 있어 고도의 비밀관리와 경제적 가치",,,
G500-S1-028,bio,임상 3상 시험 프로토콜: 신약 후보물질 [물질 Y]의 암 치료 적응증 확대 연구,S1(1급비밀),S3,S1,1,2,2,4,"임상시험 프로토콜은 경제적 가치가 높고, 보안 조치가 철저히 이루어져 있으나, 일부 연구 정보는 산업계에서 통상적으로 접근 가능할 수 있어 비공지성은 중간 수준이",,,
G500-S1-029,hr,2024년도 임원 보상 체계 개요,S1(1급비밀),S1,TS,2,2,2,8,"문서는 외부 공유가 엄격히 금지되고, 보안 시스템에 저장되며, 경쟁력 유지와 직결된 핵심 영업비밀로 유출 시 심각한 피해가 발생할 수 있어 비공지성(S), 경제적",,,
G500-S1-030,finance,2024년도 신규 자본 확보를 위한 전략적 투자 유치 계획,S1(1급비밀),TS,TS,2,2,2,8,"자금조달 전략, R&D 투자 계획, 해외 진출 방향 등 경쟁력 유지에 직접적인 영향을 미치는 핵심 정보로, 외부 공유 시 유출 위험을 경고하며 엄격한 NDA 관리",,,
G500-S1-031,tech,2024년 Q3 핵심 알고리즘 최적화 연구 보고서,S1(1급비밀),S1,TS,2,2,2,8,"알고리즘 성능 향상, 고비용 개발, 엄격한 접근 제어로 인해 특급기밀로 분류",,,
G500-S1-032,ai,AI 핵심 알고리즘 특허 전략 개요,S1(1급비밀),S1,TS,2,2,2,8,"문서는 엄격한 접근 제어, 특허 전략, 고비용 R&D 결과물로 비공지성과 경제적 가치가 높으며 체계적인 보안 관리가 적용됨",,,
G500-S1-033,bio,신약 후보물질 [X-227C] 합성 경로 최적화 연구 보고서,S1(1급비밀),S1,TS,2,2,2,8,"프로젝트 기술 세부사항, 원가 구조, 특허 출원 전 기술, 경쟁사 대응 전략 등이 경제적 가치와 비밀관리성에서 높은 점수를 받았으며, 외부 유출 위험으로 인해 비",,,
G500-S1-034,hr,2024년도 임원 보상 체계 및 성과 기준 안,S1(1급비밀),S3,TS,2,2,2,8,"임원 보상 체계와 성과 기준은 경영 전략과 직결된 고유 정보로, 외부 공개 시 경제적 가치가 크고, 보안 서버 저장 및 엄격한 공유 금지로 비밀관리성이 높아 TS",,,
G500-S1-035,finance,2024년도 제3사분기 자금조달 계획 및 손익 추정 보고서,S1(1급비밀),S1,TS,2,2,2,8,"자금 조달 계획, 원가 구조, 주요 고객사 데이터, 미공개 마케팅 전략 등 경제적 가치가 높고 비공지성 및 비밀관리성이 강한 정보로 TS 등급에 해당",,,
G500-S1-036,tech,AI 알고리즘 연구 노트: 차세대 머신러닝 플랫폼용 신규 기술 개발,S1(1급비밀),S3,TS,2,2,2,8,"문서는 개발 중인 차세대 머신러닝 플랫폼의 핵심 알고리즘과 특허 기술을 포함하며, 외부 접근 제한 및 엄격한 보안 체계로 인해 비공지성(S=2), 경제적 가치(V",,,
G500-S1-037,ai,AI 핵심 알고리즘 개발 및 특허 전략 프레임워크 (2024~2026),S1(1급비밀),S3,TS,2,2,2,8,"AI 핵심 알고리즘 개발 세부사항과 특허 전략이 경쟁사 대비 30% 추론 속도 향상 목표, 암호화 저장소 접근 제한, CTO 및 R&D 책임자 한정 관리로 비공지",,,
