문서ID,도메인,제목,제안등급(목표),룰판정,LLM판정,S,V,M,곱,근거요약(LLM),검수자_확정등급,검수자_사유,검수자명
G50-S1-08,bio,Project X-307 신약 후보물질 연구노트,S1(1급비밀),TS,TS,2,2,2,8,"암 전이 억제 항암제 후보물질의 핵심 기술, 실험 데이터, 임상 설계 기준 등이 경쟁사의 기술 역전 및 시장 전략에 직접 영향을 줄 수 있는 고유한 정보로, 엄격",,,
G50-S1-09,hr,2024년도 임원 및 팀장급 인사 이동 및 평가 기준 안,S1(1급비밀),S3,S1,1,2,2,4,"문서는 내부 보안망을 통해 제한된 인원에게만 공유되며, 외부 유출 시 경쟁력 약화 위험이 있어 비공지성(S=2), 경제적 유용성(V=2), 비밀관리성(M=2)을 ",,,
G50-S1-11,tech,Next-Generation AI Platform Core Algorithm Optimiz,S1(1급비밀),S1,TS,2,2,2,8,"핵심 알고리즘 최적화 과정, 특수 산업 데이터셋 활용, 경쟁사 대비 저비용 구조 등 경제적 가치가 높고, 접근 권한이 엄격히 제한되어 비밀관리성이 높아 TS 등급",,,
G50-S1-12,ai,강화학습 기반 인간 피드백 최적화 프레임워크 설계 지침,S1(1급비밀),S3,TS,2,2,2,8,"문서는 특허 전략과 핵심 알고리즘을 포함하며, 유출 시 시장 점유율 손실 위험이 있고, 엄격한 보안 관리가 적용되어 있어 TS 등급에 해당합니다.",,,
G50-S2-01,ma,2024년 제4분기 합병 실사 보고서 (가상기업A 대상),S2(2급대외비),S2,S1,2,2,1,4,"주식 매수 계획안에 포함된 재무 상태, 리스크 요소, 조건부 승인 조건 등은 통상적 방법으로 입수하기 어려운 민감 정보로, 경제적 가치가 높고 일부 임직원만 공유",,,
G50-S2-03,legal,라이선스 계약 검토안,S2(2급대외비),S2,S1,2,2,1,4,"계약서의 기술적 보안 조건, 소스코드 공개 금지, 위약금 규정 등은 경제적 가치가 높고, 내부 법무·IT 부서에 한해 공유되며, 외부 공개 시 유출 위험을 경고하",,,
G50-S2-05,business,2024년 제4분기 신규 협력사 확보를 위한 전략 검토안,S2(2급대외비),S2,S1,2,2,1,4,"문서는 협력사와의 협상 조건 및 IP 권리 분할 계획 등 경제적 가치가 높은 정보를 포함하며, 내부 검토팀과 경영진 승인을 위한 제한된 공유로 비밀관리성이 높아 ",,,
G50-S2-06,ma,비공개 합병 의향서: [가상기업A]와 [가상기업B] 간 전략적 협력 검토안,S2(2급대외비),S2,S1,1,2,2,4,"내부 합병 검토 자료로 외부 공개 시 혼란 유발 가능(비공지성 1), 경제적 시너지 및 구체적 조건 포함(경제적 유용성 2), 경영진 및 M&A 부서 간 공유(비",,,
G50-S2-07,finance,2023년 Q4 자금조달 계획 검토안,S2(2급대외비),S1,S2,1,2,1,2,"자금 조달 계획은 외부 공개 시 협상력 약화 위험으로 비공지성(S=1), 경제적 가치가 높고 상당한 비용·노력 투입(V=2), 관련 부서 내부 공유로 비밀관리성(",,,
G50-S2-08,legal,2024년 제3분기 주요 거래처 협상 조건 검토안,S2(2급대외비),S2,S1,1,2,2,4,,,,
G50-S2-10,business,2024년 제4분기 신규 사업 개발 검토안,S2(2급대외비),S2,S1,2,2,1,4,"문서는 내부 검토용으로 외부 공개 시 경쟁력 저하 위험이 있으며, 고액 투자와 수익 모델 등 경제적 가치가 높고, 일부 임직원만 공유하는 관리 수준을 보여 S1에",,,
G50-S2-11,ma,제3자 투자 제안에 대한 내부 검토 보고서,S2(2급대외비),S2,TS,2,2,2,8,"문서는 주식 매수 제안 검토 내용으로, 경제적 가치가 높고 엄격한 내부 관리가 적용된 정보로 판단됨.",,,
G50-S2-12,finance,2024년 제4분기 결산 초안 및 자금 조달 계획 검토 보고서,S2(2급대외비),S2,S1,1,2,2,4,"매출 예측, 자금 조달 계획 등 경영 전략 관련 정보로 경제적 가치가 높고, 내부 검토 및 협상 조건 등 비공개 정보로 비공지성은 통상적 방법으론 입수 곤란(1점",,,
G50-S3-02,finance,2024년도 주식회사 [가상기업A] 자금조달 계획서,S3(3급공개),S3,S1,1,2,2,4,"자금계획은 경제적 가치가 높고, 내부 관리가 이루어졌으나 외부에 공개되지 않았으므로 S1",,,
G50-S3-03,tech,가상기업A의 [신제품명] 설계명세서,S3(3급공개),S3,S2,1,2,1,2,"문서는 현재 내부에서 관리되며 외부 공개 예정이지만, 기술 사양과 설계 목표 등 경제적 가치가 높고 비공지성도 유지되고 있어 S2로 분류됨.",,,
G50-S3-04,mixed,2024년 신제품 출시 계획 보고서,S3(3급공개),S3,S2,1,2,1,2,"문서는 내부 부서 간 협의를 위한 전략 및 예산 정보로, 외부에 공개되지 않았으나 일부 직원에게 공유되어 비공지성(S)은 1점, 경제적 유용성(V)은 고비용·고노",,,
G50-S3-05,business,스마트 홈 IoT 플랫폼 사업 확장 전략 보고서,S3(3급공개),S3,S2,1,2,1,2,"비공개된 사업 확장 계획과 재무 전망, 경쟁사 대응 전략 등 경제적 가치가 높고, 내부 관리가 철저히 이루어진 정보로 판단됨.",,,
G50-S3-06,finance,2024년 상반기 신규 자금 조달 계획서,S3(3급공개),S3,S2,1,2,1,2,"자금 조달 계획과 투자 구조 등 경제적 가치가 높은 정보로, 내부 승인 절차를 거쳐 공유되지만 외부에 공개되지 않아 비밀관리성은 중간 수준이다.",,,
G50-S3-07,tech,AI 이미지 인식 알고리즘 구현 매뉴얼 (v1.2),S3(3급공개),S3,TS,2,2,2,8,"기술 구현 방식, 알고리즘 스택, 성능 지표 등 경쟁력 있는 정보가 포함되어 경제적 가치가 높고, 내부 관리되지만 외부 공개 위험성이 존재함",,,
G50-S3-08,mixed,2023년 Q4 마케팅 전략 및 예산 집행 보고서,S3(3급공개),S1,S2,1,2,1,2,"문서는 내부 회의 결과로 공개되지 않았으며, 예산 규모와 전략적 투자 계획 등 경제적 가치가 높고, 승인된 부서에 한해 공유되어 비밀관리성이 높아 S1에 해당함.",,,
G50-S3-09,business,2024년도 신규 사업 개발 계획서,S3(3급공개),S2,S3,0,0,0,0,"문서는 향후 12개월간 추진할 핵심 프로젝트와 대규모 투자 예산, 글로벌 시장 확장 전략 등 경제적 가치가 높은 정보를 포함하며, 경영진 및 협력사 대상으로만 공",,,
